"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7368","search_images","Webkit 1920","Fri Feb 28 05:33:25 UTC 2025","passed","Fri Feb 28 05:33:33 UTC 2025","","searxng.spec.js","",""
"","2033","preferences","Firefox 1920 - no js","Fri Feb 28 05:32:01 UTC 2025","passed","Fri Feb 28 05:32:03 UTC 2025","","searxng.spec.js","",""
"","1681","preferences","Chrome 1920 - high contrast","Fri Feb 28 05:32:47 UTC 2025","passed","Fri Feb 28 05:32:48 UTC 2025","","searxng.spec.js","",""
"","4495","index","Webkit 1920","Fri Feb 28 05:33:18 UTC 2025","passed","Fri Feb 28 05:33:22 UTC 2025","","searxng.spec.js","",""
"","4787","search_images","Firefox 1024 - centered","Fri Feb 28 05:30:00 UTC 2025","passed","Fri Feb 28 05:30:05 UTC 2025","","searxng.spec.js","",""
"","5795","search_images","Firefox 1920","Fri Feb 28 05:28:38 UTC 2025","passed","Fri Feb 28 05:28:43 UTC 2025","","searxng.spec.js","",""
"","6116","search_videos","Chromium 1920","Fri Feb 28 05:28:13 UTC 2025","passed","Fri Feb 28 05:28:19 UTC 2025","","searxng.spec.js","",""
"","2252","search_general","Mobile Chrome - centered - rtl","Fri Feb 28 05:31:15 UTC 2025","passed","Fri Feb 28 05:31:18 UTC 2025","","searxng.spec.js","",""
"","3888","index","Firefox 1920 - dark mode","Fri Feb 28 05:32:21 UTC 2025","passed","Fri Feb 28 05:32:25 UTC 2025","","searxng.spec.js","",""
"","3496","search_images","Mobile Chrome - centered","Fri Feb 28 05:30:54 UTC 2025","passed","Fri Feb 28 05:30:57 UTC 2025","","searxng.spec.js","",""
"","1566","search_code","Firefox 1024","Fri Feb 28 05:29:49 UTC 2025","passed","Fri Feb 28 05:29:51 UTC 2025","","searxng.spec.js","",""
"","4634","search_map","Firefox 1024 - centered - rtl","Fri Feb 28 05:30:38 UTC 2025","passed","Fri Feb 28 05:30:43 UTC 2025","","searxng.spec.js","",""
